+-------------+-------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+-----------+-------------+-----------------+--------------------------+
| id_category | name                                                                                | category_url                                                                                                      | id_parent | level_depth | direct_products | recursive_products_total |
|       22920 | Kle 500 / 650 / Versys                                                              | https://www.driveonly.fr/fr/22920-kle-500-650-versys                                                              |       105 |           5 |               0 |                        0 |
|       22923 | KX / KXF                                                                            | https://www.driveonly.fr/fr/22923-kx-kxf                                                                          |       105 |           5 |               0 |                        0 |
|       22924 | ZR7                                                                                 | https://www.driveonly.fr/fr/22924-zr7                                                                             |       105 |           5 |               0 |                        0 |
|       22928 | ZX 250 / 300 Ninja                                                                  | https://www.driveonly.fr/fr/22928-zx-250-300-ninja                                                                |       105 |           5 |               0 |                        0 |
|       22926 | ZX6R / ZX7R / ZX9R / ZX10R / ZX12R                                                  | https://www.driveonly.fr/fr/22926-zx6r-zx7r-zx9r-zx10r-zx12r                                                      |       105 |           5 |               0 |                        0 |
|       22917 | CB                                                                                  | https://www.driveonly.fr/fr/22917-cb                                                                              |       107 |           5 |               0 |                        0 |
|       22900 | CB 500                                                                              | https://www.driveonly.fr/fr/22900-cb-500                                                                          |       107 |           5 |               0 |                        0 |
|       22902 | CB F Hornet                                                                         | https://www.driveonly.fr/fr/22902-cb-f-hornet                                                                     |       107 |           5 |               0 |                        0 |
|       22901 | CBF                                                                                 | https://www.driveonly.fr/fr/22901-cbf                                                                             |       107 |           5 |               0 |                        0 |
|       22904 | CRF                                                                                 | https://www.driveonly.fr/fr/22904-crf                                                                             |       107 |           5 |               0 |                        0 |
|       22905 | NC 700 / 750                                                                        | https://www.driveonly.fr/fr/22905-nc-700-750                                                                      |       107 |           5 |               0 |                        0 |
|       22907 | NTV 650 Deauville / Revere                                                          | https://www.driveonly.fr/fr/22907-ntv-650-deauville-revere                                                        |       107 |           5 |               0 |                        0 |
|       22908 | NX 650 Dominator                                                                    | https://www.driveonly.fr/fr/22908-nx-650-dominator                                                                |       107 |           5 |               0 |                        0 |
|       22914 | Transalp                                                                            | https://www.driveonly.fr/fr/22914-transalp                                                                        |       107 |           5 |               0 |                        0 |
|       22912 | Varadero                                                                            | https://www.driveonly.fr/fr/22912-varadero                                                                        |       107 |           5 |               0 |                        0 |
|       22910 | VFR                                                                                 | https://www.driveonly.fr/fr/22910-vfr                                                                             |       107 |           5 |               0 |                        0 |
